year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	gp	gs	Goals	Assists	Points	Shots	Shot PCT	SOG	SOG PCT	GWG	EMO G	Man-Down G	GB	TO	CT	FOW	FOs Taken	FO%	Pen	Pen Time	GGP	GGS	G Min	Goals Allowed	GAA	Saves	Save Pct	RC	YC	Clears Suc	Clears Att	Clear Pct
2016	12380	1	244	Furman	12	1536867	Blaze, Hil	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536867	Jr	1	0	1	 	1	 	1	1	1.000	1	1.000	 	 	 	3	 	 	5	17	0.294	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	15	1536870	Kane, Justin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536870	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	16	1536871	Hancock, Chase	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536871	Jr	1	0	1	 	1	 	1	2	0.500	1	0.500	 	 	 	 	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	57	1536878	Courtney, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536878	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	1	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	24	1536879	McDaid, J.J.	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536879	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	 	1	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	27	1536882	Reilly, Patrick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536882	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	 	1	 	""	""	1	60	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	33	1536886	Yetman, Ben	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536886	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	1	 	 	""	""	1	30	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	41	1536890	Lewis, Tim	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536890	Jr	1	0	1	 	 	 	0	 	""	 	""	 	 	 	1	 	 	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	51	1536899	Stone, Joe	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536899	Jr	1	1	1	1	 	 	0	 	""	 	""	 	 	 	3	 	1	 	""	""	1	60	 	 	 	""	""	 	""	 	 	 	 	""
2016	12380	1	244	Furman	53	1536901	Primeau, Scott	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1536901	Jr	1	1	1	1	2	1	3	3	0.667	2	0.667	 	 	 	1	1	1	 	""	""	 	 	 	 	 	""	""	 	""	 	 	 	 	""
