game_id	section_id	player_id	player_name	player_url	starter	position	Goals	Assists	Points	Shots	SOG	Man-Up G	Man-Down G	GB	TO	CT	FO Won	FOs Taken	Pen	Pen Time	G Min	Goals Allowed	Saves	W	L	T	RC	YC	"Clears	Att"	Clear Pct
4004129	1	1652343	Keenan, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652343	true	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750620	Lamela, Dean	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750620	true	""	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1526698	Lombardi, Billy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1526698	true	""	0	0	0	0	0	0	0	3	0	0	12	20	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1526705	Maloney, Lucas	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1526705	true	""	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750605	McClain, Michel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750605	true	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750618	Nowoswiat, Jimmy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750618	true	""	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1436079	O'Neill, Tommy	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1436079	true	""	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1652344	Pearl, Hunter	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652344	true	""	0	0	0	0	0	0	0	0	1	0	0	0	0	0	524	3	4	0	0	0	0	0	0	0	0
4004129	1	1652345	Peck, Tanner	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1652345	true	""	0	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4004129	1	1750615	Petkevich, Drew	http://stats.ncaa.org/player?game_sport_year_ctl_id=12380&stats_player_seq=1750615	true	""	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
