year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	gp	gs	Goals	Assists	Points	Shots	Shot PCT	SOG	SOG PCT	GWG	EMO G	Man-Down G	GB	TO	CT	FOW	FOs Taken	FO%	Pen	Pen Time	GGP	GGS	G Min	Goals Allowed	GAA	Saves	Save Pct	RC	YC	Clears Suc	Clears Att	Clear Pct
2016	12380	725	Army West Point	21	1657537	Glesener, Ted	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1657537	So	1	0	1	""	1	1	2	4	0.250	1	0.250	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	53	1657536	Glancy, Conor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1657536	So	1	1	1	1	1	""	1	6	0.167	4	0.667	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	36	1657533	Colvin, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1657533	So	1	0	1	""	""	""	0	3	""	2	0.667	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	25	1536553	Stackpole, Tim	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536553	Jr	1	0	1	""	""	""	0	""	""	""	""	""	""	""	2	1	5	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	0	1536546	Littlejohn, Avery	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536546	Jr	1	1	1	1	""	""	0	3	""	1	0.333	""	""	""	1	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	55	1536544	Krieg, Max	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536544	Jr	1	0	1	""	""	""	0	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	13	1536543	Klipstein, Reaves	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536543	Jr	1	1	1	1	""	""	0	1	""	""	""	""	""	""	7	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	28	1536542	Johnson, Cole	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536542	Jr	1	1	1	1	1	1	2	2	0.500	1	0.500	""	""	""	3	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	99	1536540	Grabher, Dan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536540	Jr	1	0	1	""	1	""	1	1	1.000	1	1.000	""	""	""	5	""	""	8	12	0.667	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	15	1536535	Bowman, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536535	Jr	1	0	1	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	88	1424145	Daly, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1424145	Sr	1	0	1	""	""	""	0	""	""	""	""	""	""	""	""	""	""	5	6	0.833	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	77	1424144	Cook, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1424144	Sr	1	1	1	1	""	""	0	6	""	4	0.667	""	""	""	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	11	1424143	Schultz, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1424143	Sr	1	1	1	1	""	""	0	""	""	""	""	""	""	""	3	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	48	1424140	Moore, Jimbo	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1424140	Sr	1	1	1	1	1	""	1	4	0.250	1	0.250	1	""	""	3	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	27	1424137	Finney, Sam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1424137	Sr	1	1	1	1	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	1	60	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	1	1424134	Coll, Tim	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1424134	Sr	1	0	1	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	26	1424131	Canara, A.J.	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1424131	Sr	1	0	1	""	""	""	0	""	""	""	""	""	""	""	2	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	23	1424130	Poulos, Luke	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1424130	Sr	1	0	1	""	""	""	0	1	""	1	1.000	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	725	Army West Point	7	1424129	Mullins, Shea	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1424129	Sr	1	0	1	""	1	""	1	3	0.333	1	0.333	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	52	Bellarmine	50	1769842	Miller, Ian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1769842	N/A	1	1	1	1	""	""	0	2	""	1	0.500	""	""	""	""	5	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	52	Bellarmine	41	1769841	Zamora, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1769841	N/A	1	0	1	""	1	""	1	1	1.000	1	1.000	""	""	""	""	""	""	""	""	""	1	30	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	52	Bellarmine	39	1769840	Gatt, Dylan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1769840	N/A	1	1	1	1	3	""	3	4	0.750	3	0.750	""	""	""	1	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	52	Bellarmine	27	1769839	Hill, Brogan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1769839	N/A	1	0	1	""	""	""	0	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	52	Bellarmine	23	1769838	Wesley, Reid	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1769838	N/A	1	1	1	1	""	""	0	""	""	""	""	""	""	""	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	52	Bellarmine	21	1769837	Schmitt, Bobby	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1769837	N/A	1	1	1	1	2	""	2	2	1.000	2	1.000	""	""	""	6	2	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
