year	year_id	team_id	team_name	jersey_number	team/opp	player_name	player_url	class_year	gp	gs	Goals	Assists	Points	Shots	Shot PCT	SOG	SOG PCT	GWG	EMO G	Man-Down G	GB	TO	CT	FOW	FOs Taken	FO%	Pen	Pen Time	GGP	GGS	G Min	Goals Allowed	GAA	Saves	Save Pct	RC	YC	Clears Suc	Clears Att	Clear Pct
2016	12380	180	Delaware	-	Opponent Totals	-	-	-	2	""	27	11	38	68	0.397	42	0.618	2	3	""	54	30	11	27	49	0.551	5	240	""	""	7,200	16	8.000	19	0.543	""	""	29	35	0.829
2016	12380	184	Detroit	-	TEAM	-	-	-	1	""	""	""	0	""	""	""	""	""	""	""	""	1	1	""	""	""	2	60	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	184	Detroit	-	Totals	-	-	-	1	""	5	2	7	25	0.200	15	0.600	""	2	""	25	22	9	6	25	0.240	3	90	""	""	3,600	16	16.000	18	0.529	""	""	13	20	0.650
2016	12380	184	Detroit	-	Opponent Totals	-	-	-	1	""	16	8	24	53	0.302	34	0.642	1	1	""	39	15	13	19	25	0.760	3	120	""	""	3,600	5	5.000	10	0.667	""	""	16	19	0.842
2016	12380	193	Duke	-	TEAM	-	-	-	1	""	""	""	0	""	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	193	Duke	-	Totals	-	-	-	2	""	30	15	45	82	0.366	50	0.610	2	4	""	64	32	10	33	52	0.635	13	600	""	""	7,200	17	8.500	27	0.614	""	""	29	31	0.935
2016	12380	193	Duke	-	Opponent Totals	-	-	-	2	""	17	7	24	81	0.210	44	0.543	""	2	""	55	24	12	19	52	0.365	8	450	""	""	7,200	30	15.000	20	0.400	""	""	30	39	0.769
2016	12380	220	Fairfield	-	TEAM	-	-	-	1	""	""	""	0	""	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	220	Fairfield	-	Totals	-	-	-	1	""	10	4	14	28	0.357	16	0.571	""	4	""	18	14	6	7	23	0.304	5	270	""	""	3,600	11	11.000	15	0.577	""	""	16	19	0.842
2016	12380	220	Fairfield	-	Opponent Totals	-	-	-	1	""	11	6	17	43	0.256	26	0.605	1	1	""	28	11	8	16	23	0.696	5	240	""	""	3,600	10	10.000	6	0.375	""	""	12	13	0.923
2016	12380	244	Furman	-	TEAM	-	-	-	2	""	""	""	0	""	""	""	""	""	""	""	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	244	Furman	-	Totals	-	-	-	2	""	13	6	19	42	0.310	27	0.643	""	1	""	48	30	12	13	42	0.310	6	270	""	""	7,200	22	11.000	28	0.560	""	""	36	45	0.800
2016	12380	244	Furman	-	Opponent Totals	-	-	-	2	""	22	10	32	88	0.250	50	0.568	2	1	""	68	24	18	29	42	0.690	7	360	""	""	7,200	13	6.500	14	0.519	""	""	29	32	0.906
2016	12380	19651	High Point	-	TEAM	-	-	-	""	""	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12380	19651	High Point	-	Totals	-	-	-	2	""	16	9	25	81	0.198	47	0.580	""	2	""	59	22	15	23	51	0.451	4	210	""	""	7,200	30	15.000	18	0.375	""	""	28	31	0.903
