game_id	section_id	player_id	player_name	player_url	position	Goals	Assists	Points	Shots	SOG	Man-Up G	Man-Down G	GB	TO	CT	FO Won	FOs Taken	Pen	Pen Time	G Min	Goals Allowed	Saves	W	L	T	RC	YC	"Clears	Att"	Clear Pct
4003276	1	1647371	Hallmark, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1647371	""	""	""	""	3	2	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1536214	McEneaney, Pearse	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536214	""	""	""	""	1	1	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1753867	Cerino, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1753867	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1427063	O'Keefe, Sean	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1427063	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1536210	Herman, Spencer	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536210	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1647383	Forsberg, Tom	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1647383	""	""	3/	3	3	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1647380	Vailas, Tom	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1647380	""	""	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1647367	Bovich, Trevor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1647367	""	1	""	1	2	2	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1753871	Hamernick, Will	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1753871	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1536215	Montero, Will	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1536215	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1427056	Gould, William	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1427056	""	""	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1	1427062	Micciche, Zack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1427062	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
4003276	1		TEAM		""	""	""	""	""	""	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
