year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	games_played	games_started
2016	12380	14	Albany (NY)	37	1760843.0	Dluhy, Erik	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1760843.0	Fr	6	1
2016	12380	14	Albany (NY)	88	1532264.0	Drake, Bennett	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532264.0	Jr	6	0
2016	12380	14	Albany (NY)	2	1643150.0	Dutkanych, Carson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1643150.0	Fr	1	0
2016	12380	14	Albany (NY)	8	1322915.0	Eccles, Derrick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1322915.0	Sr	6	1
2016	12380	14	Albany (NY)	38	1760844.0	Eccles, Sean	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1760844.0	Fr	6	0
2016	12380	14	Albany (NY)	36	1643151.0	Eddinger, Joe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1643151.0	So	6	0
2016	12380	14	Albany (NY)	43	1643152.0	Egan, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1643152.0	So	1	0
2016	12380	14	Albany (NY)	11	1445579.0	Erickson, Harry	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1445579.0	Sr	6	0
2016	12380	14	Albany (NY)	1	1322952.0	Fahey, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1322952.0	Sr	0	0
2016	12380	14	Albany (NY)	5	1643153.0	Fields, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1643153.0	So	6	6
2016	12380	14	Albany (NY)	30	1532265.0	Glancy, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532265.0	Jr	1	0
2016	12380	14	Albany (NY)	14		Gleason, Sean		Fr	0	0
2016	12380	14	Albany (NY)	4	1760846.0	Hill, Chaunce	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1760846.0	Fr	4	0
2016	12380	14	Albany (NY)	22		Kirby, Cougar		Fr	0	0
2016	12380	14	Albany (NY)	45	1643155.0	Kluck, AJ	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1643155.0	So	6	2
2016	12380	14	Albany (NY)	41	1532269.0	Lasda, Eli	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532269.0	Jr	6	0
2016	12380	14	Albany (NY)	13	1760848.0	Lyons, Colyn	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1760848.0	Fr	1	0
2016	12380	14	Albany (NY)	0	1446813.0	Maloney, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1446813.0	Sr	6	6
2016	12380	14	Albany (NY)	40	1643157.0	McClancy, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1643157.0	So	6	6
2016	12380	14	Albany (NY)	24	1445578.0	McNally, Kevin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1445578.0	Jr	6	0
2016	12380	14	Albany (NY)	21	1652480.0	Oakes, Seth	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1652480.0	Jr	6	6
2016	12380	14	Albany (NY)	29	1760849.0	Ornstein, Zack	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1760849.0	Fr	6	0
2016	12380	14	Albany (NY)	17	1532273.0	Osika, Adam	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532273.0	Jr	6	5
2016	12380	14	Albany (NY)	34	1760850.0	Perla, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1760850.0	Fr	1	0
2016	12380	14	Albany (NY)	6	1643159.0	Reh, Troy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1643159.0	So	6	0
2016	12380	14	Albany (NY)	12	1643158.0	Reh, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1643158.0	So	6	6
2016	12380	14	Albany (NY)	10	1440259.0	Riorden, Blaze	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1440259.0	Sr	6	6
2016	12380	14	Albany (NY)	18	1643160.0	Roundpoint, Dalton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1643160.0	So	6	0
2016	12380	14	Albany (NY)	3	1445572.0	Rupp, Mitch	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1445572.0	Jr	0	0
2016	12380	14	Albany (NY)	19	1532274.0	Russell, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12380&stats_player_seq=1532274.0	Jr	2	0
